Gemeinde, Frauen  +/- pro 100,20-24  jährigeFrauen +/- pro 100,25-29  jährigeFrauen +/- pro 100,30-34  jährigeFrauen +/- pro 100,35-39  jährigeFrauen +/- pro 100,40-44  jährigeFrauen +/- pro 100,45-49  jährigeFrauen +/- pro 100,50-54  jährigeFrauen +/- pro 100,55-59  jährigeFrauen +/- pro 100,60-64  jährigeFrauen +/- pro 100,65-69  jährigeFrauen +/- pro 100,70-74  jährigeFrauen +/- pro 100,75-79  jährigeFrauen +/- pro 100,80-84  jährigeFrauen +/- pro 100,85-89  jährigeFrauen +/- pro 100,90-94  jährigeFrauen +/- pro 100, Männer  +/- pro 100,20-24  jährigeMänner +/- pro 100,25-29  jährigeMänner +/- pro 100,30-34  jährigeMänner +/- pro 100,35-39  jährigeMänner +/- pro 100,40-44  jährigeMänner +/- pro 100,45-49  jährigeMänner +/- pro 100,50-54  jährigeMänner +/- pro 100,55-59  jährigeMänner +/- pro 100,60-64  jährigeMänner +/- pro 100,65-69  jährigeMänner +/- pro 100,70-74  jährigeMänner +/- pro 100,75-79  jährigeMänner +/- pro 100,80-84  jährigeMänner +/- pro 100,85-89  jährigeMänner +/- pro 100,90-94  jährigeMänner +/- pro 100
Buchs (ZH),-1.0,-0.6,-0.7,-0.7,-0.2,-0.0,-0.1,0.0,-0.0,0.2,0.3,0.5,0.3,0.2,0.1,0.2,1.0,0.6,0.7,0.7,0.2,0.0,0.1,-0.0,0.0,-0.2,-0.3,-0.5,-0.3,-0.2,-0.1,-0.2
Dällikon,-2.8,-0.7,-0.6,-0.7,-0.7,-0.3,-0.4,0.1,-0.1,0.3,0.3,0.5,0.2,0.1,0.4,0.1,2.8,0.7,0.6,0.7,0.7,0.3,0.4,-0.1,0.1,-0.3,-0.3,-0.5,-0.2,-0.1,-0.4,-0.1
Dänikon,-1.4,-1.2,-1.0,-0.5,-0.4,-0.3,0.3,-0.4,0.2,0.1,0.1,0.0,0.2,0.3,0.2,0.1,1.4,1.2,1.0,0.5,0.4,0.3,-0.3,0.4,-0.2,-0.1,-0.1,0.0,-0.2,-0.3,-0.2,-0.1
Dielsdorf,1.3,-0.6,-0.4,-0.6,-0.6,-0.4,0.1,0.3,-0.1,0.6,0.5,0.5,0.5,0.3,0.5,0.1,-1.3,0.6,0.4,0.6,0.6,0.4,-0.1,-0.3,0.1,-0.6,-0.5,-0.5,-0.5,-0.3,-0.5,-0.1
Hüttikon,1.5,-0.9,-0.6,-0.2,0.3,0.1,-0.3,-0.1,0.1,0.6,0.5,0.0,0.6,0.5,0.2,0.1,-1.5,0.9,0.6,0.2,-0.3,-0.1,0.3,0.1,-0.1,-0.6,-0.5,0.0,-0.6,-0.5,-0.2,-0.1
Neerach,-1.7,-0.3,-0.2,-0.6,-0.2,-0.1,-0.8,-0.4,-0.4,0.4,0.1,0.3,0.3,0.3,0.7,-0.0,1.7,0.3,0.2,0.6,0.2,0.1,0.8,0.4,0.4,-0.4,-0.1,-0.3,-0.3,-0.3,-0.7,0.0
Niederglatt,0.6,-0.6,-0.4,-1.0,-0.2,-0.2,-0.1,-0.1,0.1,0.5,0.4,0.5,0.2,0.6,0.3,0.2,-0.6,0.6,0.4,1.0,0.2,0.2,0.1,0.1,-0.1,-0.5,-0.4,-0.5,-0.2,-0.6,-0.3,-0.2
Niederhasli,0.4,-0.4,-0.2,-0.1,-0.4,-0.0,-0.0,0.1,0.2,0.2,0.4,0.5,0.3,0.5,0.4,0.1,-0.4,0.4,0.2,0.1,0.4,0.0,0.0,-0.1,-0.2,-0.2,-0.4,-0.5,-0.3,-0.5,-0.4,-0.1
Niederweningen,-0.3,-0.4,-0.5,0.0,-0.3,-0.3,0.4,-0.1,-0.2,0.0,0.3,0.4,0.1,0.4,0.2,0.1,0.3,0.4,0.5,0.0,0.3,0.3,-0.4,0.1,0.2,-0.0,-0.3,-0.4,-0.1,-0.4,-0.2,-0.1
Oberglatt,-1.3,-0.2,-0.3,-0.4,-0.5,-0.4,-0.1,0.1,-0.1,0.3,0.3,0.2,0.4,0.3,0.2,0.1,1.3,0.2,0.3,0.4,0.5,0.4,0.1,-0.1,0.1,-0.3,-0.3,-0.2,-0.4,-0.3,-0.2,-0.1
