Gemeinde, Frauen  +/- pro 100,20-24  jährigeFrauen +/- pro 100,25-29  jährigeFrauen +/- pro 100,30-34  jährigeFrauen +/- pro 100,35-39  jährigeFrauen +/- pro 100,40-44  jährigeFrauen +/- pro 100,45-49  jährigeFrauen +/- pro 100,50-54  jährigeFrauen +/- pro 100,55-59  jährigeFrauen +/- pro 100,60-64  jährigeFrauen +/- pro 100,65-69  jährigeFrauen +/- pro 100,70-74  jährigeFrauen +/- pro 100,75-79  jährigeFrauen +/- pro 100,80-84  jährigeFrauen +/- pro 100,85-89  jährigeFrauen +/- pro 100,90-94  jährigeFrauen +/- pro 100, Männer  +/- pro 100,20-24  jährigeMänner +/- pro 100,25-29  jährigeMänner +/- pro 100,30-34  jährigeMänner +/- pro 100,35-39  jährigeMänner +/- pro 100,40-44  jährigeMänner +/- pro 100,45-49  jährigeMänner +/- pro 100,50-54  jährigeMänner +/- pro 100,55-59  jährigeMänner +/- pro 100,60-64  jährigeMänner +/- pro 100,65-69  jährigeMänner +/- pro 100,70-74  jährigeMänner +/- pro 100,75-79  jährigeMänner +/- pro 100,80-84  jährigeMänner +/- pro 100,85-89  jährigeMänner +/- pro 100,90-94  jährigeMänner +/- pro 100
Schlosswil,1.7,0.2,0.2,0.5,-1.3,0.8,0.6,-0.8,1.1,-0.5,0.5,-0.2,0.8,0.5,0.5,0.0,-1.7,-0.2,-0.2,-0.5,1.3,-0.8,-0.6,0.8,-1.1,0.5,-0.5,0.2,-0.8,-0.5,-0.5,0.0
Tägertschi,-0.3,-2.1,1.0,-1.0,0.3,-0.5,0.3,0.3,0.5,0.5,-0.3,-0.3,0.3,0.0,0.3,0.8,0.3,2.1,-1.0,1.0,-0.3,0.5,-0.3,-0.3,-0.5,-0.5,0.3,0.3,-0.3,0.0,-0.3,-0.8
Walkringen,0.0,-0.3,-0.6,-0.3,-1.2,0.0,-0.3,0.3,-0.3,0.2,0.5,0.4,0.5,0.4,0.9,0.3,0.0,0.3,0.6,0.3,1.2,0.0,0.3,-0.3,0.3,-0.2,-0.5,-0.4,-0.5,-0.4,-0.9,-0.3
Worb,3.1,0.0,-0.6,-0.5,-0.1,-0.2,-0.0,0.3,0.4,0.2,0.6,0.8,0.8,0.7,0.5,0.3,-3.1,-0.0,0.6,0.5,0.1,0.2,0.0,-0.3,-0.4,-0.2,-0.6,-0.8,-0.8,-0.7,-0.5,-0.3
Zäziwil,-1.0,-1.1,-0.8,-0.5,-0.1,-0.4,0.1,-0.9,0.1,-0.2,0.5,0.1,0.2,1.2,0.5,0.8,1.0,1.1,0.8,0.5,0.1,0.4,-0.1,0.9,-0.1,0.2,-0.5,-0.1,-0.2,-1.2,-0.5,-0.8
Oberhünigen,5.7,-0.3,1.3,-0.9,-0.6,0.6,-0.3,0.3,-1.6,0.6,1.3,0.6,0.0,1.6,0.3,0.3,-5.7,0.3,-1.3,0.9,0.6,-0.6,0.3,-0.3,1.6,-0.6,-1.3,-0.6,0.0,-1.6,-0.3,-0.3
Allmendingen,2.8,0.0,-0.7,-1.3,0.7,-0.4,-0.2,-0.4,0.4,0.0,0.0,0.9,0.7,0.7,0.4,0.4,-2.8,0.0,0.7,1.3,-0.7,0.4,0.2,0.4,-0.4,0.0,0.0,-0.9,-0.7,-0.7,-0.4,-0.4
Wichtrach,0.6,-0.2,-0.2,-0.7,-0.6,0.2,0.3,0.1,0.3,0.5,0.5,0.0,0.6,0.2,0.5,0.2,-0.6,0.2,0.2,0.7,0.6,-0.2,-0.3,-0.1,-0.3,-0.5,-0.5,-0.0,-0.6,-0.2,-0.5,-0.2
Clavaleyres,-2.0,-8.2,2.0,-2.0,-2.0,0.0,2.0,0.0,0.0,2.0,4.1,2.0,2.0,0.0,0.0,0.0,2.0,8.2,-2.0,2.0,2.0,0.0,-2.0,0.0,0.0,-2.0,-4.1,-2.0,-2.0,0.0,0.0,0.0
Ferenbalm,3.1,-0.2,0.4,-0.4,-0.1,-0.2,-0.2,-0.3,-0.1,0.3,0.1,-0.3,0.3,0.1,0.6,0.6,-3.1,0.2,-0.4,0.4,0.1,0.2,0.2,0.3,0.1,-0.3,-0.1,0.3,-0.3,-0.1,-0.6,-0.6
Frauenkappelen,1.7,-1.0,0.3,0.1,0.4,-0.1,-0.7,0.7,0.1,0.4,0.2,0.0,0.3,0.7,0.7,0.1,-1.7,1.0,-0.3,-0.1,-0.4,0.1,0.7,-0.7,-0.1,-0.4,-0.2,0.0,-0.3,-0.7,-0.7,-0.1
Golaten,0.6,-1.3,0.3,0.3,-0.6,-1.0,-0.3,-0.3,-1.0,0.0,-0.3,1.0,0.0,1.6,0.6,0.6,-0.6,1.3,-0.3,-0.3,0.6,1.0,0.3,0.3,1.0,0.0,0.3,-1.0,0.0,-1.6,-0.6,-0.6
Gurbrü,-6.1,-1.6,-0.4,-0.4,1.2,0.8,-1.6,-0.8,0.8,0.0,-1.2,1.2,-0.4,1.6,0.4,0.4,6.1,1.6,0.4,0.4,-1.2,-0.8,1.6,0.8,-0.8,0.0,1.2,-1.2,0.4,-1.6,-0.4,-0.4
Kriechenwil,2.8,-0.9,-0.9,-1.2,0.0,-0.2,0.7,-1.4,-0.5,0.9,-0.2,1.4,0.9,0.7,1.2,0.9,-2.8,0.9,0.9,1.2,0.0,0.2,-0.7,1.4,0.5,-0.9,0.2,-1.4,-0.9,-0.7,-1.2,-0.9
Laupen,0.7,-0.3,-0.8,-0.9,-0.2,-0.1,0.3,-0.3,-0.1,0.0,0.0,0.7,0.7,0.6,0.6,0.4,-0.7,0.3,0.8,0.9,0.2,0.1,-0.3,0.3,0.1,0.0,-0.0,-0.7,-0.7,-0.6,-0.6,-0.4
Mühleberg,0.8,0.4,0.1,-0.5,-0.1,-0.3,-0.4,-0.2,-0.2,0.4,0.2,0.2,0.4,0.6,0.3,0.2,-0.8,-0.4,-0.1,0.5,0.1,0.3,0.4,0.2,0.2,-0.4,-0.2,-0.2,-0.4,-0.6,-0.3,-0.2
Münchenwiler,-2.7,-0.4,-1.7,-0.4,-1.5,0.4,-0.2,-0.4,-0.2,-0.6,-0.4,0.4,0.2,0.4,1.0,0.0,2.7,0.4,1.7,0.4,1.5,-0.4,0.2,0.4,0.2,0.6,0.4,-0.4,-0.2,-0.4,-1.0,0.0
Neuenegg,-0.3,-0.4,-0.5,-0.7,-0.1,-0.3,0.3,-0.1,-0.1,0.2,0.5,0.1,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.7,0.1,0.3,-0.3,0.1,0.1,-0.2,-0.5,-0.1,-0.3,-0.3,-0.4,-0.3
Wileroltigen,2.9,-0.5,-1.0,-0.3,0.0,1.0,-0.5,1.3,-1.0,0.3,0.5,-0.3,0.5,0.8,1.0,0.5,-2.9,0.5,1.0,0.3,0.0,-1.0,0.5,-1.3,1.0,-0.3,-0.5,0.3,-0.5,-0.8,-1.0,-0.5
Guggisberg,0.6,-1.0,-0.7,-0.6,-0.1,-1.1,0.3,0.1,0.1,0.1,0.5,0.3,0.8,0.5,0.3,0.1,-0.6,1.0,0.7,0.6,0.1,1.1,-0.3,-0.1,-0.1,-0.1,-0.5,-0.3,-0.8,-0.5,-0.3,-0.1
Rüschegg,2.7,0.8,-1.0,0.6,-0.3,-0.9,0.4,-0.3,-0.2,-0.1,0.0,0.1,0.8,0.2,1.1,0.2,-2.7,-0.8,1.0,-0.6,0.3,0.9,-0.4,0.3,0.2,0.1,0.0,-0.1,-0.8,-0.2,-1.1,-0.2
Schwarzenburg,1.1,-0.3,-0.4,-0.5,-0.3,-0.2,0.2,0.1,0.0,0.0,0.2,0.3,0.6,1.0,0.8,0.3,-1.1,0.3,0.4,0.5,0.3,0.2,-0.2,-0.1,0.0,-0.0,-0.2,-0.3,-0.6,-1.0,-0.8,-0.3
Belp,2.5,-0.5,-0.4,-0.1,-0.1,-0.0,0.1,-0.0,0.3,0.2,0.4,0.4,0.7,0.8,0.6,0.3,-2.5,0.5,0.4,0.1,0.1,0.0,-0.1,0.0,-0.3,-0.2,-0.4,-0.4,-0.7,-0.8,-0.6,-0.3
Gelterfingen,-1.5,-2.2,-1.9,1.1,-0.7,-2.2,-0.4,-1.9,1.1,0.0,-0.4,1.9,0.7,0.4,0.4,0.7,1.5,2.2,1.9,-1.1,0.7,2.2,0.4,1.9,-1.1,0.0,0.4,-1.9,-0.7,-0.4,-0.4,-0.7
Gerzensee,1.7,-0.3,0.3,-0.1,-0.2,0.3,0.2,-1.3,0.0,0.1,-0.2,0.3,0.4,0.7,0.3,0.1,-1.7,0.3,-0.3,0.1,0.2,-0.3,-0.2,1.3,0.0,-0.1,0.2,-0.3,-0.4,-0.7,-0.3,-0.1
Jaberg,6.3,0.0,0.8,0.4,-0.4,-0.4,0.8,0.0,-1.2,1.2,0.0,0.8,0.8,0.8,0.0,0.4,-6.3,0.0,-0.8,-0.4,0.4,0.4,-0.8,0.0,1.2,-1.2,0.0,-0.8,-0.8,-0.8,0.0,-0.4
Kaufdorf,0.4,0.8,-0.4,-0.6,-0.2,-0.1,-0.2,0.2,0.0,0.0,0.5,-0.3,0.0,0.8,0.3,0.0,-0.4,-0.8,0.4,0.6,0.2,0.1,0.2,-0.2,0.0,0.0,-0.5,0.3,0.0,-0.8,-0.3,0.0
Kehrsatz,1.7,-0.3,-0.4,-0.3,-0.1,0.1,0.0,-0.2,0.3,0.2,0.5,0.6,0.5,1.0,0.4,0.3,-1.7,0.3,0.4,0.3,0.1,-0.1,0.0,0.2,-0.3,-0.2,-0.5,-0.6,-0.5,-1.0,-0.4,-0.3
Kirchdorf (BE),-1.0,-0.5,-0.8,0.7,-0.4,0.2,-0.4,-1.0,0.3,0.5,-0.3,-0.2,0.3,0.5,0.7,0.2,1.0,0.5,0.8,-0.7,0.4,-0.2,0.4,1.0,-0.3,-0.5,0.3,0.2,-0.3,-0.5,-0.7,-0.2
Kirchenthurnen,6.8,1.4,0.0,0.0,0.7,0.4,0.4,0.0,1.1,-1.1,0.7,-0.7,1.8,0.7,0.0,0.0,-6.8,-1.4,0.0,0.0,-0.7,-0.4,-0.4,0.0,-1.1,1.1,-0.7,0.7,-1.8,-0.7,0.0,0.0
Lohnstorf,9.4,-0.4,0.4,1.3,0.4,0.9,1.3,-0.4,0.0,1.7,0.0,-1.3,0.0,0.9,2.1,1.3,-9.4,0.4,-0.4,-1.3,-0.4,-0.9,-1.3,0.4,0.0,-1.7,0.0,1.3,0.0,-0.9,-2.1,-1.3
Mühledorf (BE),6.1,0.4,-0.4,1.2,-1.2,0.0,0.0,-0.4,0.8,0.0,1.6,0.4,0.8,0.4,0.0,0.0,-6.1,-0.4,0.4,-1.2,1.2,0.0,0.0,0.4,-0.8,0.0,-1.6,-0.4,-0.8,-0.4,0.0,0.0
Mühlethurnen,3.2,0.0,-1.1,0.2,-0.1,0.3,0.6,-0.4,0.2,0.3,0.1,0.5,0.3,0.5,0.4,0.6,-3.2,0.0,1.1,-0.2,0.1,-0.3,-0.6,0.4,-0.2,-0.3,-0.1,-0.5,-0.3,-0.5,-0.4,-0.6
Niedermuhlern,-0.2,-1.5,-0.6,-0.9,0.0,-0.9,-0.4,0.0,-0.2,0.0,0.0,0.6,0.4,1.1,0.6,0.2,0.2,1.5,0.6,0.9,0.0,0.9,0.4,0.0,0.2,0.0,0.0,-0.6,-0.4,-1.1,-0.6,-0.2
Noflen,-5.6,-2.3,-1.3,0.7,0.0,-1.6,-1.6,0.3,-0.3,-0.3,-0.3,0.0,1.0,1.3,0.0,0.3,5.6,2.3,1.3,-0.7,0.0,1.6,1.6,-0.3,0.3,0.3,0.3,0.0,-1.0,-1.3,0.0,-0.3
Riggisberg,-0.5,-0.7,-0.9,-0.5,-0.4,0.1,-0.0,-0.5,0.1,0.0,0.0,0.6,0.7,1.0,0.8,0.6,0.5,0.7,0.9,0.5,0.4,-0.1,0.0,0.5,-0.1,-0.0,0.0,-0.6,-0.7,-1.0,-0.8,-0.6
Rüeggisberg,1.3,0.0,-0.9,-0.5,-0.7,0.1,-0.5,-0.1,-0.6,-0.3,-0.4,0.3,0.4,1.0,1.2,0.5,-1.3,0.0,0.9,0.5,0.7,-0.1,0.5,0.1,0.6,0.3,0.4,-0.3,-0.4,-1.0,-1.2,-0.5
Rümligen,-0.2,-0.7,0.2,-1.1,-0.5,-0.2,-0.5,0.5,-0.7,-0.9,0.2,0.9,0.2,0.5,0.9,0.7,0.2,0.7,-0.2,1.1,0.5,0.2,0.5,-0.5,0.7,0.9,-0.2,-0.9,-0.2,-0.5,-0.9,-0.7
Toffen,0.9,0.0,-0.4,-0.6,-0.4,-0.1,-0.2,0.6,0.0,-0.1,0.5,0.4,0.1,0.7,0.6,0.4,-0.9,-0.0,0.4,0.6,0.4,0.1,0.2,-0.6,-0.0,0.1,-0.5,-0.4,-0.1,-0.7,-0.6,-0.4
Wald (BE),2.1,0.2,-0.6,-0.4,-0.3,-0.5,-0.6,1.0,-0.5,0.3,0.4,0.4,0.3,0.8,0.7,0.5,-2.1,-0.2,0.6,0.4,0.3,0.5,0.6,-1.0,0.5,-0.3,-0.4,-0.4,-0.3,-0.8,-0.7,-0.5
Reutigen,0.0,-0.2,-0.4,-0.1,-0.4,-0.3,-0.3,0.3,-1.0,-0.2,0.1,0.3,0.9,0.7,1.2,0.1,0.0,0.2,0.4,0.1,0.4,0.3,0.3,-0.3,1.0,0.2,-0.1,-0.3,-0.9,-0.7,-1.2,-0.1
Stocken-Höfen,0.2,-0.5,-0.4,-0.8,0.5,-0.6,-0.2,0.3,0.3,-0.2,0.0,0.4,0.9,0.7,0.2,0.0,-0.2,0.5,0.4,0.8,-0.5,0.6,0.2,-0.3,-0.3,0.2,0.0,-0.4,-0.9,-0.7,-0.2,0.0
Burgistein,1.7,-1.4,0.0,-0.5,0.5,0.0,0.7,-0.4,0.1,-0.3,-0.1,0.8,0.8,0.8,0.6,0.2,-1.7,1.4,0.0,0.5,-0.5,0.0,-0.7,0.4,-0.1,0.3,0.1,-0.8,-0.8,-0.8,-0.6,-0.2
Gurzelen,0.9,0.0,-0.6,0.5,0.0,0.0,0.2,-0.1,0.7,-0.1,0.0,0.7,0.2,0.5,0.6,0.4,-0.9,0.0,0.6,-0.5,0.0,0.0,-0.2,0.1,-0.7,0.1,0.0,-0.7,-0.2,-0.5,-0.6,-0.4
Seftigen,3.2,-0.9,0.0,-0.5,0.2,-0.0,0.5,0.3,-0.2,0.3,0.3,0.5,0.5,0.5,0.7,0.5,-3.2,0.9,0.0,0.5,-0.2,0.0,-0.5,-0.3,0.2,-0.3,-0.3,-0.5,-0.5,-0.5,-0.7,-0.5
Uttigen,0.8,0.3,-0.4,-0.1,0.0,-0.2,-0.2,0.2,0.3,0.3,-0.2,0.4,0.8,0.3,0.5,0.2,-0.8,-0.3,0.4,0.1,0.0,0.2,0.2,-0.2,-0.3,-0.3,0.2,-0.4,-0.8,-0.3,-0.5,-0.2
Wattenwil,4.5,0.3,-0.7,-0.2,0.1,-0.2,0.0,-0.1,0.5,0.2,0.8,0.7,0.7,0.3,0.9,0.5,-4.5,-0.3,0.7,0.2,-0.1,0.2,-0.0,0.1,-0.5,-0.2,-0.8,-0.7,-0.7,-0.3,-0.9,-0.5
Amsoldingen,2.3,-0.5,0.1,-0.5,-0.1,0.0,-0.2,-0.7,-0.4,-0.1,0.2,-0.5,1.1,0.9,0.9,0.5,-2.3,0.5,-0.1,0.5,0.1,0.0,0.2,0.7,0.4,0.1,-0.2,0.5,-1.1,-0.9,-0.9,-0.5
Blumenstein,-1.3,-0.2,-0.7,0.0,-0.2,-0.2,-0.8,-0.3,0.1,0.9,-0.5,0.1,0.3,1.0,0.2,0.5,1.3,0.2,0.7,0.0,0.2,0.2,0.8,0.3,-0.1,-0.9,0.5,-0.1,-0.3,-1.0,-0.2,-0.5
Buchholterberg,1.2,-0.5,0.0,-0.3,-0.2,-0.3,-0.1,0.0,0.0,-0.2,-0.6,0.8,0.9,0.8,1.1,0.4,-1.2,0.5,0.0,0.3,0.2,0.3,0.1,0.0,0.0,0.2,0.6,-0.8,-0.9,-0.8,-1.1,-0.4
Eriz,-3.3,-1.8,-1.2,-0.6,-1.6,0.0,-1.0,-1.0,0.0,0.0,-0.4,0.4,0.8,0.0,0.6,-0.2,3.3,1.8,1.2,0.6,1.6,0.0,1.0,1.0,0.0,0.0,0.4,-0.4,-0.8,0.0,-0.6,0.2
Fahrni,-0.9,-0.8,-0.5,0.4,0.0,-1.0,0.1,0.3,-0.1,-0.5,0.1,0.5,0.9,1.1,0.4,-0.1,0.9,0.8,0.5,-0.4,0.0,1.0,-0.1,-0.3,0.1,0.5,-0.1,-0.5,-0.9,-1.1,-0.4,0.1
Heiligenschwendi,1.0,-0.6,-0.3,-1.4,-1.8,-0.6,-0.4,0.0,2.1,0.1,0.3,1.0,0.7,1.4,0.4,0.3,-1.0,0.6,0.3,1.4,1.8,0.6,0.4,0.0,-2.1,-0.1,-0.3,-1.0,-0.7,-1.4,-0.4,-0.3
Heimberg,1.1,-0.4,-0.1,-0.6,-0.1,-0.3,0.1,0.1,0.2,0.2,0.5,0.1,0.4,0.5,0.4,0.4,-1.1,0.4,0.1,0.6,0.1,0.3,-0.1,-0.1,-0.2,-0.2,-0.5,-0.1,-0.4,-0.5,-0.4,-0.4
Hilterfingen,7.1,-0.7,-0.0,0.1,-0.2,0.1,0.3,0.0,0.7,0.7,0.7,1.4,0.8,1.3,1.4,0.6,-7.1,0.7,0.0,-0.1,0.2,-0.1,-0.3,-0.0,-0.7,-0.7,-0.7,-1.4,-0.8,-1.3,-1.4,-0.6
Homberg,3.4,0.6,0.6,-0.6,0.2,0.0,-0.2,0.0,0.4,0.0,0.8,0.6,0.8,0.8,0.0,0.6,-3.4,-0.6,-0.6,0.6,-0.2,0.0,0.2,0.0,-0.4,0.0,-0.8,-0.6,-0.8,-0.8,0.0,-0.6
Horrenbach-Buchen,-12.0,0.0,-2.5,-2.1,-0.8,0.4,-1.7,-0.4,-1.2,-1.2,0.0,-0.4,0.8,0.4,0.0,0.4,12.0,0.0,2.5,2.1,0.8,-0.4,1.7,0.4,1.2,1.2,0.0,0.4,-0.8,-0.4,0.0,-0.4
Oberhofen am Thunersee,3.8,-0.2,0.1,-0.2,-0.4,-0.3,0.2,0.7,0.5,0.5,0.3,0.6,1.0,0.6,1.0,0.7,-3.8,0.2,-0.1,0.2,0.4,0.3,-0.2,-0.7,-0.5,-0.5,-0.3,-0.6,-1.0,-0.6,-1.0,-0.7
Oberlangenegg,5.1,1.1,-0.8,-0.8,0.0,0.2,-0.2,0.4,-0.8,0.0,-0.6,0.8,0.4,2.1,0.6,0.2,-5.1,-1.1,0.8,0.8,0.0,-0.2,0.2,-0.4,0.8,0.0,0.6,-0.8,-0.4,-2.1,-0.6,-0.2
Pohlern,-4.4,0.8,-0.8,-1.2,1.2,0.4,-0.4,0.0,0.0,0.0,0.8,-2.4,-0.4,-0.4,0.0,0.0,4.4,-0.8,0.8,1.2,-1.2,-0.4,0.4,0.0,0.0,0.0,-0.8,2.4,0.4,0.4,0.0,0.0
Schwendibach,-5.8,-1.2,0.0,-1.2,-0.8,-0.4,-0.4,0.4,0.0,0.0,0.0,0.8,-1.7,1.7,0.4,0.0,5.8,1.2,0.0,1.2,0.8,0.4,0.4,-0.4,0.0,0.0,0.0,-0.8,1.7,-1.7,-0.4,0.0
Sigriswil,4.1,-0.2,-1.1,-0.1,-0.0,0.2,-0.0,0.1,0.5,0.6,0.4,0.3,0.6,1.3,1.1,0.4,-4.1,0.2,1.1,0.1,0.0,-0.2,0.0,-0.1,-0.5,-0.6,-0.4,-0.3,-0.6,-1.3,-1.1,-0.4
Steffisburg,4.7,0.0,-0.1,-0.3,-0.2,-0.1,0.0,0.5,0.3,0.4,0.5,0.7,0.6,0.9,0.6,0.6,-4.7,-0.0,0.1,0.3,0.2,0.1,-0.0,-0.5,-0.3,-0.4,-0.5,-0.7,-0.6,-0.9,-0.6,-0.6
Teuffenthal (BE),12.4,1.9,0.6,0.0,-0.6,0.6,1.2,-1.2,-0.6,0.0,-0.6,0.6,1.9,1.9,0.6,0.6,-12.4,-1.9,-0.6,0.0,0.6,-0.6,-1.2,1.2,0.6,0.0,0.6,-0.6,-1.9,-1.9,-0.6,-0.6
Thierachern,0.7,-0.2,-0.3,0.0,0.0,0.5,-0.1,0.0,-0.0,0.0,0.6,0.3,0.4,0.6,0.3,0.2,-0.7,0.2,0.3,0.0,-0.0,-0.5,0.1,0.0,0.0,0.0,-0.6,-0.3,-0.4,-0.6,-0.3,-0.2
Thun,5.1,-0.2,-0.5,-0.3,-0.2,-0.0,0.2,0.3,0.3,0.6,0.7,0.8,0.8,0.9,1.0,0.5,-5.1,0.2,0.5,0.3,0.2,0.0,-0.2,-0.3,-0.3,-0.6,-0.7,-0.8,-0.8,-0.9,-1.0,-0.5
Uebeschi,-0.9,-0.1,-0.3,0.1,0.9,0.1,-0.6,0.0,0.0,1.0,0.0,-0.1,0.9,0.4,1.0,-0.1,0.9,0.1,0.3,-0.1,-0.9,-0.1,0.6,0.0,0.0,-1.0,0.0,0.1,-0.9,-0.4,-1.0,0.1
Uetendorf,1.8,-0.5,-0.7,-0.6,-0.2,-0.2,0.2,0.2,-0.2,0.2,0.3,0.6,0.5,0.6,0.8,0.5,-1.8,0.5,0.7,0.6,0.2,0.2,-0.2,-0.2,0.2,-0.2,-0.3,-0.6,-0.5,-0.6,-0.8,-0.5
Unterlangenegg,1.4,0.9,-0.9,-1.3,0.6,-0.3,-0.4,0.2,0.3,0.6,0.3,0.3,0.5,0.7,1.1,0.7,-1.4,-0.9,0.9,1.3,-0.6,0.3,0.4,-0.2,-0.3,-0.6,-0.3,-0.3,-0.5,-0.7,-1.1,-0.7
Wachseldorn,-0.9,-1.7,0.0,0.9,-1.3,-3.0,0.4,-0.4,0.9,-0.9,0.4,2.6,0.4,-0.4,-0.9,0.4,0.9,1.7,0.0,-0.9,1.3,3.0,-0.4,0.4,-0.9,0.9,-0.4,-2.6,-0.4,0.4,0.9,-0.4
Zwieselberg,-2.0,-0.3,-0.7,1.0,1.3,-1.6,-0.3,0.7,0.0,0.3,-0.3,0.0,-0.7,-0.3,0.3,0.0,2.0,0.3,0.7,-1.0,-1.3,1.6,0.3,-0.7,0.0,-0.3,0.3,0.0,0.7,0.3,-0.3,0.0
Forst-Längenbühl,3.1,0.1,0.8,-1.3,-0.1,0.0,0.3,-0.4,0.1,-0.5,0.1,0.8,0.8,1.2,0.8,0.3,-3.1,-0.1,-0.8,1.3,0.1,0.0,-0.3,0.4,-0.1,0.5,-0.1,-0.8,-0.8,-1.2,-0.8,-0.3
Boltigen,-0.5,-0.5,-0.6,-0.9,-0.9,0.0,-0.6,0.2,-1.1,0.4,-0.1,0.6,0.5,1.5,1.5,0.7,0.5,0.5,0.6,0.9,0.9,0.0,0.6,-0.2,1.1,-0.4,0.1,-0.6,-0.5,-1.5,-1.5,-0.7
Lenk,0.9,-0.3,-1.2,-0.1,-0.4,0.0,-0.3,-0.3,-0.2,0.3,0.5,-0.1,0.6,0.6,0.5,0.7,-0.9,0.3,1.2,0.1,0.4,0.0,0.3,0.3,0.2,-0.3,-0.5,0.1,-0.6,-0.6,-0.5,-0.7
St. Stephan,-3.5,0.5,-1.6,-0.9,-0.2,-0.4,-1.1,-0.3,-0.7,0.3,0.4,0.1,0.5,0.5,0.4,0.6,3.5,-0.5,1.6,0.9,0.2,0.4,1.1,0.3,0.7,-0.3,-0.4,-0.1,-0.5,-0.5,-0.4,-0.6
Zweisimmen,1.0,-0.5,0.0,-0.7,-0.4,0.2,-0.1,-0.4,0.0,0.3,-0.0,0.4,0.9,0.8,0.8,0.3,-1.0,0.5,0.0,0.7,0.4,-0.2,0.1,0.4,-0.0,-0.3,0.0,-0.4,-0.9,-0.8,-0.8,-0.3
Gsteig,-0.7,-0.6,0.0,0.1,-0.1,-1.4,-0.7,-0.7,0.0,-0.4,0.1,0.0,0.2,1.4,0.7,0.2,0.7,0.6,0.0,-0.1,0.1,1.4,0.7,0.7,0.0,0.4,-0.1,0.0,-0.2,-1.4,-0.7,-0.2
Lauenen,2.6,-0.1,-0.7,-1.3,-1.2,0.0,-0.4,-0.4,-0.2,-0.2,0.4,0.7,0.0,1.1,0.5,0.2,-2.6,0.1,0.7,1.3,1.2,0.0,0.4,0.4,0.2,0.2,-0.4,-0.7,0.0,-1.1,-0.5,-0.2
Saanen,-0.3,-0.1,-1.0,-0.5,-0.3,-0.4,-0.5,-0.4,0.1,-0.0,0.3,0.4,0.7,0.7,0.8,0.3,0.3,0.1,1.0,0.5,0.3,0.4,0.5,0.4,-0.1,0.0,-0.3,-0.4,-0.7,-0.7,-0.8,-0.3
Adelboden,0.9,-0.5,-0.6,-0.1,-0.2,-0.5,-0.3,-0.3,-0.2,0.0,0.3,0.5,0.5,0.7,1.1,0.4,-0.9,0.5,0.6,0.1,0.2,0.5,0.3,0.3,0.2,-0.0,-0.3,-0.5,-0.5,-0.7,-1.1,-0.4
Aeschi bei Spiez,0.3,-0.2,-0.9,-0.1,-0.1,-0.1,0.0,0.3,0.0,0.2,0.2,0.5,0.3,0.5,0.7,0.3,-0.3,0.2,0.9,0.1,0.1,0.1,-0.0,-0.3,-0.0,-0.2,-0.2,-0.5,-0.3,-0.5,-0.7,-0.3
Frutigen,2.3,-0.3,-1.0,-0.1,0.0,-0.1,-0.1,0.1,0.1,0.1,0.1,0.5,0.8,0.5,0.6,0.4,-2.3,0.3,1.0,0.1,-0.0,0.1,0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.8,-0.5,-0.6,-0.4
Kandergrund,-4.0,-0.4,-1.4,-1.1,-0.9,-0.1,-0.8,0.1,-0.1,0.0,-0.3,-0.5,0.8,1.0,0.4,0.3,4.0,0.4,1.4,1.1,0.9,0.1,0.8,-0.1,0.1,0.0,0.3,0.5,-0.8,-1.0,-0.4,-0.3
Kandersteg,3.9,0.2,-0.4,-1.1,0.2,0.1,0.2,0.2,0.5,0.5,0.2,0.7,0.3,0.3,1.1,0.2,-3.9,-0.2,0.4,1.1,-0.2,-0.1,-0.2,-0.2,-0.5,-0.5,-0.2,-0.7,-0.3,-0.3,-1.1,-0.2
Krattigen,2.4,-0.8,0.4,-0.2,-0.2,-0.3,0.2,-0.1,0.0,0.6,-0.5,0.4,0.4,1.5,1.3,0.5,-2.4,0.8,-0.4,0.2,0.2,0.3,-0.2,0.1,0.0,-0.6,0.5,-0.4,-0.4,-1.5,-1.3,-0.5
Reichenbach im Kandertal,1.9,-0.5,-0.2,-0.4,-0.3,-0.1,0.2,0.0,-0.2,0.1,0.5,0.2,0.8,0.5,0.8,0.3,-1.9,0.5,0.2,0.4,0.3,0.1,-0.2,-0.0,0.2,-0.1,-0.5,-0.2,-0.8,-0.5,-0.8,-0.3
Därstetten,2.6,-0.1,0.8,-0.9,0.0,0.0,0.2,-0.2,-0.5,0.4,-0.5,0.8,0.1,1.1,1.3,0.5,-2.6,0.1,-0.8,0.9,0.0,0.0,-0.2,0.2,0.5,-0.4,0.5,-0.8,-0.1,-1.1,-1.3,-0.5
Diemtigen,-0.1,0.1,-0.7,-0.8,-0.3,-0.4,-0.3,0.2,-0.4,-0.2,0.2,1.1,0.5,0.8,0.9,0.3,0.1,-0.1,0.7,0.8,0.3,0.4,0.3,-0.2,0.4,0.2,-0.2,-1.1,-0.5,-0.8,-0.9,-0.3
Erlenbach im Simmental,3.8,0.9,0.2,-0.5,-0.2,0.2,-0.4,0.1,-0.4,-0.2,1.1,0.7,0.9,0.1,1.0,0.5,-3.8,-0.9,-0.2,0.5,0.2,-0.2,0.4,-0.1,0.4,0.2,-1.1,-0.7,-0.9,-0.1,-1.0,-0.5
