Gemeinde,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total+/-,Ledige20-24 JahreMänner Total+/-,Ledige25-29 JahreFrauen Total+/-,Ledige25-29 JahreMänner Total+/-,Ledige30-34 JahreFrauen Total+/-,Ledige30-34 JahreMänner Total+/-,Ledige35-39 JahreFrauen Total+/-,Ledige35-39 JahreMänner Total+/-,Ledige40-44 JahreFrauen Total+/-,Ledige40-44 JahreMänner Total+/-,Ledige45-49 JahreFrauen Total+/-,Ledige45-49 JahreMänner Total+/-,Ledige50-54 JahreFrauen Total+/-,Ledige50-54 JahreMänner Total+/-,Ledige55-59 JahreFrauen Total+/-,Ledige55-59 JahreMänner Total+/-,Ledige60-64 JahreFrauen Total+/-,Ledige60-64 JahreMänner Total+/-,Ledige65-69 JahreFrauen Total+/-,Ledige65-69 JahreMänner Total+/-,Ledige70-74 JahreFrauen Total+/-,Ledige70-74 JahreMänner Total+/-,Ledige75-79 JahreFrauen Total+/-,Ledige75-79 JahreMänner Total+/-,Ledige80-84 JahreFrauen Total+/-,Ledige80-84 JahreMänner Total+/-,Ledige85-89 JahreFrauen Total+/-,Ledige85-89 JahreMänner Total+/-,Ledige90-94 JahreFrauen Total+/-,Ledige90-94 JahreMänner Total+/-
Lufingen,46,-46,-11,11,-1,1,2,-2,-2,2,-1,1,-7,7,-12,12,0,0,-2,2,7,-7,3,-3,6,-6,6,-6,5,-5,5,-5
Nürensdorf,-11,11,-11,11,-26,26,-17,17,-11,11,-38,38,0,0,15,-15,5,-5,11,-11,22,-22,26,-26,29,-29,17,-17,17,-17,4,-4
Oberembrach,5,-5,-14,14,-5,5,-1,1,-5,5,-3,3,6,-6,-5,5,5,-5,-7,7,2,-2,5,-5,3,-3,3,-3,2,-2,3,-3
Opfikon,507,-507,-53,53,-124,124,-231,231,-147,147,-126,126,-78,78,-26,26,1,-1,33,-33,41,-41,62,-62,58,-58,88,-88,63,-63,38,-38
Rafz,6,-6,0,0,-21,21,-17,17,-11,11,9,-9,-11,11,3,-3,-11,11,1,-1,-1,1,14,-14,10,-10,24,-24,22,-22,12,-12
Rorbas,-1,1,-9,9,-10,10,5,-5,-2,2,-10,10,1,-1,-8,8,8,-8,4,-4,12,-12,-1,1,12,-12,10,-10,5,-5,4,-4
Wallisellen,-135,135,-29,29,-71,71,-90,90,-48,48,-39,39,-41,41,-14,14,7,-7,19,-19,48,-48,67,-67,78,-78,112,-112,113,-113,41,-41
Wasterkingen,-5,5,-1,1,-8,8,5,-5,1,-1,-5,5,-4,4,-4,4,-2,2,6,-6,1,-1,4,-4,-1,1,4,-4,2,-2,2,-2
Wil (ZH),26,-26,-12,12,-5,5,-16,16,8,-8,-2,2,3,-3,6,-6,-15,15,7,-7,3,-3,-2,2,7,-7,13,-13,3,-3,5,-5
Winkel,-2,2,-8,8,-26,26,-17,17,-22,22,-13,13,-11,11,-14,14,-12,12,13,-13,-2,2,23,-23,25,-25,7,-7,9,-9,7,-7
Bachs,15,-15,-5,5,-1,1,3,-3,2,-2,-5,5,1,-1,4,-4,1,-1,-1,1,-2,2,-3,3,2,-2,3,-3,3,-3,1,-1
Boppelsen,10,-10,-12,12,-3,3,5,-5,2,-2,-1,1,-1,1,0,0,-3,3,4,-4,2,-2,3,-3,4,-4,6,-6,5,-5,0,0
Buchs (ZH),66,-66,-36,36,-46,46,-43,43,-14,14,-1,1,-9,9,3,-3,-1,1,13,-13,21,-21,31,-31,18,-18,14,-14,6,-6,11,-11
Dällikon,109,-109,-27,27,-23,23,-27,27,-26,26,-13,13,-15,15,4,-4,-2,2,11,-11,12,-12,19,-19,6,-6,5,-5,17,-17,5,-5
Dänikon,26,-26,-23,23,-18,18,-9,9,-7,7,-5,5,6,-6,-7,7,4,-4,1,-1,1,-1,0,0,4,-4,6,-6,3,-3,2,-2
Dielsdorf,-78,78,-38,38,-22,22,-34,34,-34,34,-26,26,8,-8,15,-15,-6,6,34,-34,27,-27,28,-28,30,-30,19,-19,31,-31,8,-8
Hüttikon,-13,13,-8,8,-5,5,-2,2,3,-3,1,-1,-3,3,-1,1,1,-1,5,-5,4,-4,0,0,5,-5,4,-4,2,-2,1,-1
Neerach,52,-52,-8,8,-7,7,-17,17,-5,5,-3,3,-24,24,-13,13,-13,13,13,-13,2,-2,9,-9,10,-10,8,-8,21,-21,-1,1
Niederglatt,-30,30,-29,29,-21,21,-50,50,-8,8,-8,8,-6,6,-7,7,4,-4,22,-22,19,-19,22,-22,11,-11,29,-29,15,-15,9,-9
Niederhasli,-32,32,-38,38,-14,14,-12,12,-33,33,-1,1,-3,3,11,-11,20,-20,16,-16,35,-35,42,-42,24,-24,42,-42,36,-36,10,-10
Niederweningen,9,-9,-11,11,-14,14,0,0,-9,9,-9,9,10,-10,-3,3,-5,5,1,-1,9,-9,12,-12,4,-4,10,-10,7,-7,4,-4
Oberglatt,87,-87,-13,13,-18,18,-26,26,-31,31,-28,28,-10,10,4,-4,-5,5,21,-21,22,-22,16,-16,25,-25,23,-23,16,-16,5,-5
Oberweningen,24,-24,-13,13,-16,16,-14,14,-1,1,-2,2,0,0,5,-5,8,-8,9,-9,-3,3,3,-3,10,-10,7,-7,3,-3,2,-2
Otelfingen,7,-7,-20,20,-4,4,3,-3,-1,1,-8,8,10,-10,-10,10,-5,5,-9,9,5,-5,16,-16,7,-7,9,-9,12,-12,6,-6
Regensberg,13,-13,1,-1,-1,1,0,0,1,-1,-2,2,-6,6,0,0,4,-4,-2,2,2,-2,-3,3,2,-2,4,-4,5,-5,0,0
Regensdorf,19,-19,-50,50,-81,81,-90,90,-70,70,-64,64,-26,26,-10,10,-4,4,48,-48,70,-70,91,-91,87,-87,102,-102,69,-69,24,-24
Rümlang,34,-34,-22,22,-43,43,-26,26,-70,70,-21,21,-14,14,-11,11,10,-10,20,-20,42,-42,23,-23,39,-39,55,-55,36,-36,23,-23
Schleinikon,23,-23,-1,1,-3,3,-4,4,-8,8,3,-3,-8,8,0,0,-6,6,-3,3,0,0,4,-4,3,-3,2,-2,4,-4,1,-1
Schöfflisdorf,-38,38,-5,5,-4,4,-5,5,0,0,-3,3,-2,2,-6,6,-4,4,4,-4,6,-6,8,-8,12,-12,12,-12,8,-8,3,-3
Stadel,-37,37,2,-2,2,-2,-19,19,-16,16,5,-5,2,-2,6,-6,-4,4,3,-3,1,-1,14,-14,5,-5,19,-19,5,-5,6,-6
Steinmaur,47,-47,-7,7,-22,22,-22,22,-17,17,1,-1,7,-7,7,-7,-3,3,-1,1,2,-2,6,-6,17,-17,18,-18,10,-10,7,-7
Weiach,2,-2,1,-1,4,-4,-8,8,0,0,-2,2,-12,12,6,-6,-15,15,9,-9,0,0,4,-4,2,-2,13,-13,4,-4,5,-5
Bäretswil,-26,26,-19,19,-31,31,-7,7,-19,19,7,-7,3,-3,14,-14,-9,9,7,-7,24,-24,20,-20,9,-9,27,-27,20,-20,12,-12
Bubikon,-105,105,-12,12,-22,22,-23,23,-2,2,5,-5,0,0,-2,2,5,-5,38,-38,38,-38,46,-46,32,-32,34,-34,24,-24,10,-10
Dürnten,153,-153,-60,60,-58,58,-37,37,-51,51,-9,9,-14,14,4,-4,10,-10,2,-2,23,-23,12,-12,30,-30,47,-47,47,-47,9,-9
Fischenthal,24,-24,-1,1,-16,16,-12,12,-13,13,-8,8,-7,7,3,-3,-2,2,-1,1,-5,5,-2,2,10,-10,12,-12,7,-7,4,-4
Gossau (ZH),-95,95,-57,57,-19,19,-40,40,-26,26,-6,6,-2,2,21,-21,27,-27,39,-39,64,-64,27,-27,49,-49,38,-38,40,-40,20,-20
Grüningen,-5,5,-17,17,7,-7,-9,9,-9,9,4,-4,-1,1,10,-10,2,-2,-1,1,18,-18,11,-11,11,-11,14,-14,12,-12,11,-11
Hinwil,-134,134,-34,34,-57,57,-60,60,-39,39,26,-26,-22,22,-8,8,10,-10,23,-23,38,-38,55,-55,60,-60,84,-84,52,-52,55,-55
Rüti (ZH),-68,68,-36,36,-83,83,-70,70,-70,70,-46,46,-20,20,9,-9,51,-51,72,-72,34,-34,73,-73,75,-75,77,-77,59,-59,48,-48
